County,State,2016 Prescribing Rate,year,prescription_rate
ATLANTIC,NJ,NA,2006,84.8
BERGEN,NJ,NA,2006,46.3
BURLINGTON,NJ,NA,2006,59.3
CAMDEN,NJ,NA,2006,85.3
CAPE MAY,NJ,NA,2006,93.1
CUMBERLAND,NJ,NA,2006,85.2
ESSEX,NJ,NA,2006,42.5
GLOUCESTER,NJ,NA,2006,83.0
HUDSON,NJ,NA,2006,36.8
HUNTERDON,NJ,NA,2006,35.6
MERCER,NJ,NA,2006,54.3
MIDDLESEX,NJ,NA,2006,45.7
MONMOUTH,NJ,NA,2006,59.9
MORRIS,NJ,NA,2006,47.2
OCEAN,NJ,NA,2006,74.1
PASSAIC,NJ,NA,2006,43.6
SALEM,NJ,NA,2006,74.6
SOMERSET,NJ,NA,2006,37.3
SUSSEX,NJ,NA,2006,51.8
UNION,NJ,NA,2006,43.2
WARREN,NJ,NA,2006,60.7
ATLANTIC,NJ,NA,2007,89.4
BERGEN,NJ,NA,2007,48.0
BURLINGTON,NJ,NA,2007,63.1
CAMDEN,NJ,NA,2007,89.8
CAPE MAY,NJ,NA,2007,105.5
CUMBERLAND,NJ,NA,2007,89.7
ESSEX,NJ,NA,2007,42.9
GLOUCESTER,NJ,NA,2007,86.0
HUDSON,NJ,NA,2007,37.9
HUNTERDON,NJ,NA,2007,39.5
MERCER,NJ,NA,2007,57.0
MIDDLESEX,NJ,NA,2007,47.6
MONMOUTH,NJ,NA,2007,63.3
MORRIS,NJ,NA,2007,48.5
OCEAN,NJ,NA,2007,78.1
PASSAIC,NJ,NA,2007,45.4
SALEM,NJ,NA,2007,77.4
SOMERSET,NJ,NA,2007,40.0
SUSSEX,NJ,NA,2007,51.8
UNION,NJ,NA,2007,45.6
WARREN,NJ,NA,2007,65.2
ATLANTIC,NJ,NA,2008,91.0
BERGEN,NJ,NA,2008,48.9
BURLINGTON,NJ,NA,2008,67.3
CAMDEN,NJ,NA,2008,94.2
CAPE MAY,NJ,NA,2008,107.0
CUMBERLAND,NJ,NA,2008,90.0
ESSEX,NJ,NA,2008,45.6
GLOUCESTER,NJ,NA,2008,86.4
HUDSON,NJ,NA,2008,38.9
HUNTERDON,NJ,NA,2008,42.5
MERCER,NJ,NA,2008,59.3
MIDDLESEX,NJ,NA,2008,49.6
MONMOUTH,NJ,NA,2008,65.4
MORRIS,NJ,NA,2008,51.3
OCEAN,NJ,NA,2008,81.4
PASSAIC,NJ,NA,2008,48.8
SALEM,NJ,NA,2008,77.7
SOMERSET,NJ,NA,2008,41.6
SUSSEX,NJ,NA,2008,52.1
UNION,NJ,NA,2008,48.0
WARREN,NJ,NA,2008,67.0
ATLANTIC,NJ,NA,2009,89.0
BERGEN,NJ,NA,2009,49.1
BURLINGTON,NJ,NA,2009,71.1
CAMDEN,NJ,NA,2009,92.1
CAPE MAY,NJ,NA,2009,102.7
CUMBERLAND,NJ,NA,2009,91.9
ESSEX,NJ,NA,2009,43.0
GLOUCESTER,NJ,NA,2009,83.8
HUDSON,NJ,NA,2009,39.4
HUNTERDON,NJ,NA,2009,41.2
MERCER,NJ,NA,2009,58.6
MIDDLESEX,NJ,NA,2009,52.4
MONMOUTH,NJ,NA,2009,67.0
MORRIS,NJ,NA,2009,51.8
OCEAN,NJ,NA,2009,82.9
PASSAIC,NJ,NA,2009,50.4
SALEM,NJ,NA,2009,80.8
SOMERSET,NJ,NA,2009,42.9
SUSSEX,NJ,NA,2009,54.0
UNION,NJ,NA,2009,49.6
WARREN,NJ,NA,2009,66.2
ATLANTIC,NJ,NA,2010,83.4
BERGEN,NJ,NA,2010,50.0
BURLINGTON,NJ,NA,2010,72.0
CAMDEN,NJ,NA,2010,91.8
CAPE MAY,NJ,NA,2010,101.6
CUMBERLAND,NJ,NA,2010,93.1
ESSEX,NJ,NA,2010,44.1
GLOUCESTER,NJ,NA,2010,84.2
HUDSON,NJ,NA,2010,40.6
HUNTERDON,NJ,NA,2010,48.6
MERCER,NJ,NA,2010,59.3
MIDDLESEX,NJ,NA,2010,55.9
MONMOUTH,NJ,NA,2010,68.6
MORRIS,NJ,NA,2010,51.7
OCEAN,NJ,NA,2010,85.1
PASSAIC,NJ,NA,2010,51.3
SALEM,NJ,NA,2010,80.6
SOMERSET,NJ,NA,2010,43.8
SUSSEX,NJ,NA,2010,60.0
UNION,NJ,NA,2010,50.2
WARREN,NJ,NA,2010,71.0
ATLANTIC,NJ,NA,2011,83.4
BERGEN,NJ,NA,2011,50.9
BURLINGTON,NJ,NA,2011,72.2
CAMDEN,NJ,NA,2011,90.0
CAPE MAY,NJ,NA,2011,98.6
CUMBERLAND,NJ,NA,2011,95.4
ESSEX,NJ,NA,2011,44.6
GLOUCESTER,NJ,NA,2011,85.7
HUDSON,NJ,NA,2011,40.9
HUNTERDON,NJ,NA,2011,48.6
MERCER,NJ,NA,2011,59.9
MIDDLESEX,NJ,NA,2011,55.9
MONMOUTH,NJ,NA,2011,71.0
MORRIS,NJ,NA,2011,52.1
OCEAN,NJ,NA,2011,84.9
PASSAIC,NJ,NA,2011,51.9
SALEM,NJ,NA,2011,79.5
SOMERSET,NJ,NA,2011,43.6
SUSSEX,NJ,NA,2011,62.2
UNION,NJ,NA,2011,51.2
WARREN,NJ,NA,2011,75.0
ATLANTIC,NJ,NA,2012,85.7
BERGEN,NJ,NA,2012,48.2
BURLINGTON,NJ,NA,2012,72.4
CAMDEN,NJ,NA,2012,92.9
CAPE MAY,NJ,NA,2012,101.1
CUMBERLAND,NJ,NA,2012,100.7
ESSEX,NJ,NA,2012,43.7
GLOUCESTER,NJ,NA,2012,87.1
HUDSON,NJ,NA,2012,37.7
HUNTERDON,NJ,NA,2012,50.1
MERCER,NJ,NA,2012,60.3
MIDDLESEX,NJ,NA,2012,51.5
MONMOUTH,NJ,NA,2012,66.9
MORRIS,NJ,NA,2012,49.2
OCEAN,NJ,NA,2012,81.9
PASSAIC,NJ,NA,2012,50.5
SALEM,NJ,NA,2012,79.9
SOMERSET,NJ,NA,2012,42.0
SUSSEX,NJ,NA,2012,67.0
UNION,NJ,NA,2012,49.2
WARREN,NJ,NA,2012,78.7
ATLANTIC,NJ,NA,2013,86.7
BERGEN,NJ,NA,2013,45.5
BURLINGTON,NJ,NA,2013,74.0
CAMDEN,NJ,NA,2013,92.9
CAPE MAY,NJ,NA,2013,98.6
CUMBERLAND,NJ,NA,2013,105.4
ESSEX,NJ,NA,2013,42.0
GLOUCESTER,NJ,NA,2013,85.5
HUDSON,NJ,NA,2013,37.0
HUNTERDON,NJ,NA,2013,47.5
MERCER,NJ,NA,2013,59.8
MIDDLESEX,NJ,NA,2013,47.7
MONMOUTH,NJ,NA,2013,63.5
MORRIS,NJ,NA,2013,47.2
OCEAN,NJ,NA,2013,77.8
PASSAIC,NJ,NA,2013,49.3
SALEM,NJ,NA,2013,80.2
SOMERSET,NJ,NA,2013,40.0
SUSSEX,NJ,NA,2013,66.4
UNION,NJ,NA,2013,46.0
WARREN,NJ,NA,2013,77.6
ATLANTIC,NJ,NA,2014,84.7
BERGEN,NJ,NA,2014,44.4
BURLINGTON,NJ,NA,2014,73.9
CAMDEN,NJ,NA,2014,90.8
CAPE MAY,NJ,NA,2014,96.8
CUMBERLAND,NJ,NA,2014,98.0
ESSEX,NJ,NA,2014,43.0
GLOUCESTER,NJ,NA,2014,85.8
HUDSON,NJ,NA,2014,38.6
HUNTERDON,NJ,NA,2014,46.3
MERCER,NJ,NA,2014,59.6
MIDDLESEX,NJ,NA,2014,45.8
MONMOUTH,NJ,NA,2014,61.8
MORRIS,NJ,NA,2014,45.9
OCEAN,NJ,NA,2014,72.6
PASSAIC,NJ,NA,2014,50.8
SALEM,NJ,NA,2014,80.5
SOMERSET,NJ,NA,2014,38.7
SUSSEX,NJ,NA,2014,63.7
UNION,NJ,NA,2014,45.2
WARREN,NJ,NA,2014,77.5
ATLANTIC,NJ,NA,2015,80.3
BERGEN,NJ,NA,2015,44.3
BURLINGTON,NJ,NA,2015,73.4
CAMDEN,NJ,NA,2015,87.9
CAPE MAY,NJ,NA,2015,95.3
CUMBERLAND,NJ,NA,2015,98.3
ESSEX,NJ,NA,2015,42.4
GLOUCESTER,NJ,NA,2015,82.8
HUDSON,NJ,NA,2015,38.3
HUNTERDON,NJ,NA,2015,45.0
MERCER,NJ,NA,2015,59.1
MIDDLESEX,NJ,NA,2015,44.4
MONMOUTH,NJ,NA,2015,59.3
MORRIS,NJ,NA,2015,45.2
OCEAN,NJ,NA,2015,70.6
PASSAIC,NJ,NA,2015,50.6
SALEM,NJ,NA,2015,78.1
SOMERSET,NJ,NA,2015,38.8
SUSSEX,NJ,NA,2015,61.0
UNION,NJ,NA,2015,44.9
WARREN,NJ,NA,2015,75.4
