Geography,year,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Total:,Margin of Error; Total:,Total; Estimate; AGE - Under 5 years,Total; Estimate; AGE - 5 to 9 years,Total; Estimate; AGE - 10 to 14 years,Total; Estimate; AGE - 15 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over,Total; Margin of Error; AGE - Under 5 years,Total; Margin of Error; AGE - 5 to 9 years,Total; Margin of Error; AGE - 10 to 14 years,Total; Margin of Error; AGE - 15 to 19 years,Total; Margin of Error; AGE - 20 to 24 years,Total; Margin of Error; AGE - 25 to 29 years,Total; Margin of Error; AGE - 30 to 34 years,Total; Margin of Error; AGE - 35 to 39 years,Total; Margin of Error; AGE - 40 to 44 years,Total; Margin of Error; AGE - 45 to 49 years,Total; Margin of Error; AGE - 50 to 54 years,Total; Margin of Error; AGE - 55 to 59 years,Total; Margin of Error; AGE - 60 to 64 years,Total; Margin of Error; AGE - 65 to 69 years,Total; Margin of Error; AGE - 70 to 74 years,Total; Margin of Error; AGE - 75 to 79 years,Total; Margin of Error; AGE - 80 to 84 years,Total; Margin of Error; AGE - 85 years and over,Male; Estimate; Total population,Male; Margin of Error; Total population,Female; Estimate; Total population,Female; Margin of Error; Total population,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over,unemployment_rate_bls
"Bergen County, New Jersey",2012,655469,6118,50478,2186,2101,652,137980,3440,132,160,44996,5879,27732,4520,7062,1924,20670,4425,918888,NA,5.3,6,6.6,6.5,5.3,5.7,6.1,6.7,7.2,8,8,7.4,5.8,4.8,3.2,2.8,2.3,2.4,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,443760,149,475128,149,7.3,0.6,7.7
"Burlington County, New Jersey",2012,329194,2555,70525,2871,1260,608,21192,991,153,200,12731,2778,16281,3328,2481,1041,13800,2878,451336,NA,5.4,6.1,6.7,6.6,6.2,6,5.9,5.7,7.4,8.1,8.3,7,5.8,4.4,3.6,2.5,2.3,2,0.1,0.5,0.5,0.2,0.2,0.2,0.1,0.5,0.5,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.2,0.2,222183,563,229153,563,9.8,0.9,8.7
"Camden County, New Jersey",2012,326496,2981,102432,2926,1269,673,27563,1184,0,192,40531,3714,15248,2773,5130,2066,10118,2218,513539,NA,6.3,6.6,6.6,6.5,6.6,6.8,6.6,6,7,7.3,7.5,6.9,5.6,4.3,3.1,2.2,1.7,2.2,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.3,0.3,0.3,0.2,0.2,248387,435,265152,435,12,1.1,10.7
"Cape May County, New Jersey",2012,87415,1549,3259,723,611,579,1008,354,0,192,1518,1619,2493,1178,254,311,2239,982,96304,NA,4.5,5.1,4.9,6.2,5.3,5.6,4.4,3.6,6,7.6,7.8,8.5,8,6.8,5.6,3.7,3.2,3.4,0.4,1,0.8,0.6,0.4,0.9,0.4,0.6,0.9,0.8,0.4,0.9,0.9,0.9,0.9,0.6,0.5,0.6,46881,563,49423,563,11.4,2.5,15.4
"Cumberland County, New Jersey",2012,95239,3376,32005,1658,925,379,2133,317,0,192,20860,3581,6623,1879,2096,1426,4527,1298,157785,NA,6.8,6.7,6.3,6.2,7.2,7.2,7.2,6.7,6.9,7,6.9,6.6,5.6,4.1,2.6,2.4,1.6,2,0.1,0.7,0.7,0.6,0.6,0.1,0.1,0.8,0.8,0.1,0.2,0.7,0.8,0.5,0.5,0.5,0.4,0.4,81362,598,76423,598,13.9,2.3,13.1
"Essex County, New Jersey",2012,325625,5926,313745,3357,2536,873,38415,1456,432,88,83616,5887,23375,3502,6041,1772,17334,3157,787744,NA,6.8,6.4,7.2,6.8,6.8,6.7,7,7.1,7.3,7.4,7.2,6.3,5,3.8,2.7,2,1.7,1.7,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,378422,533,409322,533,15.4,0.9,10.7
"Gloucester County, New Jersey",2012,238170,2443,29717,1629,482,222,8226,1019,130,207,6410,2424,6451,2058,1952,952,4499,1728,289586,NA,5.7,6.8,6.7,7.2,6.8,5.6,6,5.7,7.5,8,8.1,6.9,5.8,4.4,3.1,2.3,1.9,1.6,0.2,0.5,0.6,0.3,0.5,0.2,0.3,0.6,0.6,0.3,0.2,0.5,0.4,0.4,0.4,0.4,0.3,0.3,140796,585,148790,585,9.6,1.1,10.1
"Hudson County, New Jersey",2012,363477,7885,86669,4520,3161,1427,93136,1678,193,210,87801,7389,17865,2800,8575,1870,9290,1972,652302,NA,6.8,5.5,5,5.4,7.3,10.6,10.5,7.7,7.7,6.7,6.2,5.3,4.9,3.3,2.6,1.8,1.5,1.3,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,324171,364,328131,364,10,0.8,8.9
"Hunterdon County, New Jersey",2012,116247,721,3174,577,102,118,3356,1379,1293,1527,695,457,2183,801,387,377,1796,700,127050,NA,4,5.6,7.8,7,5.2,3.9,4.1,5.2,7.5,9.2,10.8,8.8,6.8,4.8,3.4,2,1.9,2.1,0.4,0.7,0.8,0.2,0.4,0.2,0.6,0.7,0.7,0.4,0.4,0.9,0.9,0.6,0.6,0.4,0.5,0.5,62820,456,64230,456,8,1.7,6.8
"Mercer County, New Jersey",2012,234654,3756,73229,2189,682,728,35129,1119,0,192,17253,3883,7356,2017,1297,674,6059,1999,368303,NA,5.8,5.8,6.6,7.3,8.1,5.9,6.4,5.8,7.8,7.5,7.6,6.3,6,4,3,2.2,2,2,NA,0.5,0.5,0.2,0.3,0.2,NA,0.4,0.4,NA,NA,0.5,0.5,0.4,0.3,0.3,0.3,0.3,180189,NA,188114,NA,11.5,1.2,8.3
"Middlesex County, New Jersey",2012,512824,5111,79153,2266,1304,590,187914,1360,0,192,25356,4814,16490,2555,5907,1734,10583,1897,823041,NA,6,6.2,6.2,6.9,7.1,6.8,7,6.9,7.3,7.4,7.4,6.3,5.6,4.2,2.8,2.2,1.7,2,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,404539,360,418502,360,8.4,0.7,8.6
"Monmouth County, New Jersey",2012,522271,3376,48363,3160,1502,775,31871,1533,58,104,13877,2804,11442,2527,513,398,10929,2539,629384,NA,5.2,6,7.4,7,5.6,5.4,5.1,5.2,7.6,8.4,8.8,7.4,6.4,4.8,3.2,2.7,2,2.1,0.1,0.3,0.3,0.2,0.2,0.1,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.2,0.2,0.2,0.2,0.2,306180,417,323204,417,8.9,0.8,8.7
"Morris County, New Jersey",2012,406693,3936,15706,1166,608,539,48291,1429,0,192,17497,4280,9204,2313,1826,910,7378,1999,497999,NA,5.2,6.4,7.1,7.1,4.9,5.2,5.5,6,7.7,8.7,8.5,7.2,5.9,4.7,3.3,2.3,2.1,2.3,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.3,0.3,0.3,0.2,0.2,243641,462,254358,462,6.4,0.7,7.1
"Ocean County, New Jersey",2012,534638,3524,18690,1185,1825,2005,10459,939,0,192,7237,2543,7621,1652,849,532,6772,1576,580470,NA,6.6,6.8,6.1,5.9,5.5,5.4,5.3,5.3,5.6,6.6,6.8,6,6.5,6.2,4.5,3.8,3.4,3.5,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.2,0.3,278326,860,302144,860,10,1,10.6
"Passaic County, New Jersey",2012,346489,8345,69539,6466,1654,577,24590,1836,0,192,38162,6157,22451,4718,2697,1045,19754,4610,502885,NA,6.8,6.8,6.7,7.2,7.6,6.4,6.7,6.4,6.9,7.2,7.2,6.1,5.5,4,2.9,2,1.9,1.8,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.3,0.3,0.2,0.2,0.2,244338,596,258547,596,10.6,1.1,11.1
"Salem County, New Jersey",2012,51094,841,9411,416,0,192,718,106,0,192,3646,889,905,444,0,192,905,444,65774,NA,5.5,6.7,6.4,7.1,6.3,5.4,5.5,4.9,6.9,7.2,8.3,7.4,6.5,5,4.2,2.4,2.3,2.1,0.4,0.8,0.9,0.8,0.8,0.7,1.1,0.8,1.1,0.5,0.6,0.9,1,1,0.9,0.6,0.6,0.5,31510,414,34264,414,14.4,3,11.8
"Somerset County, New Jersey",2012,226376,3485,29335,893,265,169,50289,1068,63,105,15980,3348,5399,1430,1122,678,4277,1331,327707,NA,5.6,6.7,7.2,6.8,4.8,5.1,5.8,7.4,6.9,8.8,8.7,7.5,5.4,4.1,3.2,2.5,1.7,1.9,0.1,0.5,0.5,0.2,0.2,0.1,0.1,0.4,0.4,0.2,0.2,0.5,0.4,0.4,0.4,0.3,0.3,0.4,159847,295,167860,295,6.6,0.9,7.4
"Sussex County, New Jersey",2012,137187,1281,3361,555,144,201,2652,516,90,157,1742,1131,2266,876,709,581,1557,797,147442,NA,4.6,6.2,7.1,6.9,5.7,4.8,4.7,5.4,7.7,9.4,9.1,8.3,6.7,5,3.1,2,1.7,1.6,0.1,0.7,0.6,0.2,0.4,0.3,0.2,0.7,0.7,0.4,0.2,0.7,0.7,0.5,0.5,0.4,0.4,0.4,73276,510,74166,510,8.8,1.3,9
"Union County, New Jersey",2012,323137,5555,120120,2904,451,571,25460,1404,0,192,63531,5940,11277,1899,3785,1272,7492,1653,543976,NA,6.4,6.6,6.9,6.6,6.2,6.3,6.7,6.8,7.3,7.7,7.7,6.2,5.6,4.1,2.6,2,2,2.1,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.4,0.4,0.3,0.3,0.2,0.2,0.2,264275,506,279701,506,11.5,1,9.5
"Warren County, New Jersey",2012,95858,1467,4210,522,196,228,2735,282,0,192,3189,1479,1465,701,137,110,1328,687,107653,NA,4.8,7.2,6.5,6.6,5.5,5,5.2,6.3,7.3,8.2,9.3,7.1,6.5,5,3,2.1,2.4,2.1,0.4,1,0.9,0.5,0.3,0.4,0.4,0.8,0.9,0.3,0.4,0.7,0.7,0.6,0.6,0.5,0.5,0.5,52318,490,55335,490,9.3,1.7,8.7
"Cape May County, New Jersey",2011,88050,629,4797,359,608,433,980,162,13,26,1461,505,1121,405,312,184,809,352,97030,NA,4.5,4.2,6.1,5.8,5.2,5.2,4.6,4.9,5.1,7.7,8.3,6.9,9.4,6.6,5.2,3.8,3.6,2.8,0.3,0.9,0.8,0.6,0.5,0.7,0.4,1.2,1.2,0.7,0.6,1.1,1.1,0.9,0.9,0.8,0.8,0.9,46736,847,49865,847,11.3,2.4,14.8
"Atlantic County, New Jersey",2006,178184,3080,44553,746,221,241,17984,355,40,70,27327,3091,3311,729,397,338,2914,616,271620,NA,6.3,5.9,7.3,7.9,5.2,6.5,6.4,7.8,8.2,8,6.9,5.7,4.5,3.8,2.8,2.7,2.4,1.6,0.1,0.5,0.5,0.4,0.4,0.1,0.2,0.6,0.7,0.2,0.1,0.5,0.5,0.4,0.4,0.4,0.4,0.3,131331,340,140289,340,6.3,1,5.8
"Bergen County, New Jersey",2006,672604,5303,51504,1863,1146,663,125373,1835,144,173,40678,5022,12588,2610,3827,1216,8761,2144,904037,NA,5.7,6.3,6.5,6.3,5.6,4.6,6.1,7.5,8.7,8.6,7.6,6.6,5.3,4,3.2,2.9,2.4,2.2,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,438822,355,465215,355,5,0.6,3.9
"Burlington County, New Jersey",2006,336398,2951,73366,1587,462,438,18007,1028,58,92,12905,2831,9431,2026,1500,1044,7931,1757,450627,NA,5.9,6,6.8,6.8,6.1,6.3,6.6,7.8,8.6,8.4,7.1,5.6,5.2,3.6,2.9,2.5,2.1,1.7,0.1,0.4,0.4,0.2,0.2,0.3,0.1,0.5,0.5,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.3,0.2,221932,456,228695,456,5.8,0.9,4.2
"Camden County, New Jersey",2006,345113,2958,97253,2588,1385,445,23789,699,176,278,39694,3558,9591,2522,2635,1052,6956,2295,517001,NA,6.5,6.2,7.6,7.4,6.6,6.4,6.2,7.5,7.8,8.1,7.1,6.1,4.5,3.3,2.7,2.1,2.3,1.7,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.2,0.2,250593,350,266408,350,6.9,0.8,5.3
"Cape May County, New Jersey",2006,88601,1619,5966,804,157,191,363,320,0,273,1422,1441,1215,765,401,448,814,717,97724,NA,4.2,5.7,6.1,5.9,5.2,6,5.8,5.4,7.9,7.4,7.4,5.7,6.7,5.3,4.5,4.6,3.1,2.9,0.6,1.1,1.1,0.5,0.4,0.5,0.9,1,0.9,0.2,0.4,0.8,0.7,0.8,0.8,0.8,0.8,0.7,46370,714,51354,714,8.7,2.5,7
"Cumberland County, New Jersey",2006,103852,3332,31540,1234,1379,245,1718,162,0,273,13710,3226,2624,911,947,489,1677,797,154823,NA,6.9,7.4,5.4,7,6.6,7.7,7.2,8.4,8.4,7.3,5.2,6.3,4,3.5,2.6,2.5,2.1,1.5,0.1,0.7,0.7,0.6,0.4,0.5,0.3,1,0.9,0.5,0.3,0.7,0.7,0.5,0.4,0.5,0.5,0.4,79949,279,74874,279,11.7,2.1,7
"Essex County, New Jersey",2006,334699,5919,323306,3312,2661,1004,33772,845,40,67,77567,6373,14102,2953,7909,2633,6193,1362,786147,NA,7.4,7.2,7,7.1,6.6,6.5,6.7,7.5,7.8,7.7,6.7,5.9,4.3,3.3,2.7,2.2,1.7,1.6,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,377649,369,408498,369,9,0.8,5.9
"Gloucester County, New Jersey",2006,238991,1319,27447,1569,381,353,6416,383,73,120,3492,1078,5231,1699,1281,915,3950,1433,282031,NA,5.6,6.3,6.8,7.7,7.4,6.7,6.2,7,8.9,8.3,7.2,6.2,4.2,3.5,2.8,2.2,2,1.2,0.1,0.5,0.5,0.3,0.4,0.4,0.3,0.6,0.6,0.1,0.2,0.5,0.4,0.4,0.3,0.3,0.3,0.3,137558,586,144473,586,5.4,0.9,4.8
"Hudson County, New Jersey",2006,339879,6675,85206,3193,3115,2054,68136,1342,151,249,96663,7102,7996,1859,4025,1541,3971,1393,601146,NA,6.9,5.3,6.6,6,6.6,7.7,9.5,9.7,8,7.2,6.2,5.4,3.9,3.2,2.5,2.2,1.5,1.5,NA,0.4,0.4,0.1,0.1,NA,NA,0.5,0.5,NA,NA,0.3,0.3,0.2,0.2,0.2,0.2,0.2,298253,427,302893,427,7.9,0.8,5.6
"Hunterdon County, New Jersey",2006,120038,1037,2502,912,0,273,5010,967,0,273,1797,950,1436,660,56,94,1380,651,130783,NA,5.2,6.4,7.3,6.7,5.7,4.1,4.8,7.3,9,10.3,9.1,7.1,6.1,3.5,2.6,1.6,1.6,1.6,0.2,0.7,0.7,0.4,0.5,0.4,0.3,1,1,0.4,0.3,0.9,0.8,0.6,0.5,0.4,0.4,0.5,64852,453,65931,453,3.4,1,3.4
"Mercer County, New Jersey",2006,241856,3822,72257,1632,760,342,30494,355,499,480,16783,3673,4956,1523,744,459,4212,1361,367605,NA,6.1,6,6.9,7.6,7.4,6.5,6.8,7.6,7.8,8.1,6.8,5.7,4.9,3,2.9,2.3,2.1,1.6,0.1,0.5,0.5,0.1,0.2,0.2,0.1,0.6,0.6,0.2,0.1,0.5,0.4,0.4,0.4,0.3,0.3,0.3,180544,277,187061,277,7.1,1.3,4.3
"Middlesex County, New Jersey",2006,478685,4737,73615,1847,1401,590,142423,1513,0,273,76150,4896,14697,3221,6193,2159,8504,2361,786971,NA,6.6,6.3,6.5,6.9,6.7,6.1,7.6,7.8,8.7,8,6.8,5.9,4.1,3.2,2.7,2.3,2.1,1.7,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,388591,275,398380,275,5.5,0.6,4.4
"Monmouth County, New Jersey",2006,523224,3254,48488,1222,1393,1172,32998,896,67,111,21246,3196,7869,1749,2839,926,5030,1366,635285,NA,6,6.9,6.9,7.2,5.9,4.9,5.4,7.2,8.3,9,7.8,7,4.9,3.5,3,2.3,2,1.8,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.3,0.2,0.2,310818,317,324467,317,6.1,0.6,4.2
"Morris County, New Jersey",2006,412738,4125,15151,953,115,129,42389,916,2255,2223,15726,3858,4786,1533,1594,1068,3192,1029,493160,NA,6.2,7.2,6.5,6.7,5.4,4.1,5.9,8,8.9,8.9,7.5,6.7,5.5,3.8,2.9,2.5,1.6,1.6,NA,0.4,0.4,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.4,0.4,0.3,0.3,0.3,0.2,0.2,243241,458,249919,458,4.2,0.6,3.4
"Ocean County, New Jersey",2006,509589,2594,18501,944,626,529,9244,930,296,338,17931,2618,6148,1357,2254,831,3894,1027,562335,NA,6.4,6.3,5.9,6.1,5.3,6.1,5.9,7.1,7,7.1,6,5.2,4.9,4.4,4,5,3.9,3.4,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.5,0.5,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.3,0.3,267917,418,294418,418,6.5,0.8,5
"Passaic County, New Jersey",2006,293218,7952,60066,2107,686,638,22959,540,0,273,112101,8266,8063,2222,4284,1659,3779,1572,497093,NA,7.5,7,7.4,7.1,6.8,6.2,6.6,7.5,7.7,7.7,6.6,5.8,4.5,3.2,2.7,1.9,1.9,2,0.1,0.4,0.4,0.1,0.2,0.1,0.1,0.5,0.5,0.1,0.1,0.4,0.4,0.3,0.3,0.3,0.3,0.2,242105,506,254988,506,5.6,1,5.7
"Salem County, New Jersey",2006,53289,897,10104,558,146,215,315,220,0,273,2222,907,519,294,42,61,477,290,66595,NA,6.4,5,7.4,7.1,6.1,7.1,5.7,7.6,7,7.7,7.1,5.7,6.4,4.4,2.4,2.2,2.5,2.4,0.5,0.9,0.8,1,0.8,0.8,0.7,1.2,1,0.6,0.7,1,1,0.6,0.6,0.7,0.6,0.7,32341,495,34254,495,7.4,2.1,5.1
"Somerset County, New Jersey",2006,243382,2511,27536,733,532,376,40655,749,0,273,7987,2294,4094,1282,1564,1046,2530,704,324186,NA,6.7,7.1,7.2,6.3,4.9,4.8,6.5,7.8,9.6,9.5,7.4,6.2,4.7,2.8,2.9,1.9,1.6,1.9,0.1,0.5,0.5,0.2,0.4,0.3,0.2,0.6,0.6,0.2,0.2,0.5,0.4,0.3,0.3,0.3,0.3,0.3,159128,767,165058,767,5.1,0.9,3.5
"Sussex County, New Jersey",2006,144127,942,2557,376,0,273,2882,518,0,273,2259,913,1559,621,173,172,1386,592,153384,NA,5.5,6.8,7.1,7.6,6.2,4.7,5.7,7.6,8.7,9.6,8.3,7.1,5.3,3.1,2.4,2,1.3,0.9,0.2,0.7,0.7,0.3,0.4,0.3,0.4,0.8,0.8,0.2,0.3,0.6,0.6,0.4,0.4,0.4,0.3,0.3,76255,465,77129,465,4.6,1,4.2
"Union County, New Jersey",2006,315418,6016,112370,1951,928,461,24606,1649,563,789,69695,6494,7508,1637,3099,902,4409,1304,531088,NA,6.9,6.7,7.2,6.8,6.1,5.5,6.2,7.9,8.1,8.2,7,6.2,4.5,3.1,3,2.3,2,2.1,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.4,0.4,0.3,0.3,0.2,0.2,0.2,258111,178,272977,178,6.1,0.8,4.9
"Warren County, New Jersey",2006,99275,1153,3873,325,0,273,2845,436,0,273,3874,1135,1052,676,547,453,505,494,110919,NA,6.3,7.1,6.5,6.4,5.7,5.7,5.8,7.9,8.9,8.4,7.9,5.9,4.8,3.4,2.7,2.7,1.7,2,0.4,0.8,0.8,0.3,0.6,0.6,0.5,1,1.1,0.3,0.6,0.8,0.7,0.5,0.5,0.5,0.4,0.5,53809,728,57110,728,5.3,1.3,4.2
"Atlantic County, New Jersey",2007,177910,3119,45431,1507,275,260,17758,760,48,83,24212,3367,5010,2014,690,723,4320,1821,270644,NA,6.5,6.3,7,6.5,6.6,5.9,6.2,7.6,7.8,8.5,6.9,6,4.3,4.3,2.9,2.7,2,2,NA,0.6,0.6,0.3,0.4,0.3,0.4,0.7,0.8,0.2,0.2,0.5,0.5,0.4,0.4,0.5,0.3,0.5,131427,770,139217,770,8.2,1.5,5.9
"Bergen County, New Jersey",2007,654060,5521,50766,2041,824,457,127885,1623,0,277,49020,5908,13189,2650,3857,1534,9332,2224,895744,NA,5.5,6.2,6.3,6.5,5.6,4.8,5.8,7.6,8.2,8.7,7.8,6.5,5.8,4.2,3.2,3,2.1,2.3,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.2,435175,205,460569,205,4.2,0.5,3.4
"Burlington County, New Jersey",2007,335121,2100,71809,1821,1348,480,18437,879,0,277,10157,1947,9945,2375,1373,657,8572,2220,446817,NA,6,6.6,6.3,7,6,6.2,6.4,7.5,8.4,8.5,7.2,6.2,4.9,3.6,3.1,3,1.8,1.4,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.4,0.4,0.3,0.3,0.2,0.2,0.2,221301,411,225516,411,5.8,0.8,3.8
"Camden County, New Jersey",2007,341175,3041,94933,1919,321,246,22781,1053,0,277,42024,3271,12535,2249,2832,1106,9703,1996,513769,NA,6.7,6.9,6.7,7.2,6.6,6.6,6,7.2,7.7,8,7.2,6,4.9,3.6,2.5,2.4,2.2,1.6,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.3,0.3,0.3,249507,307,264262,307,7.5,0.8,4.8
"Cape May County, New Jersey",2007,88470,841,4817,883,442,486,442,331,0,277,833,584,1418,826,548,429,870,729,96422,NA,4.8,5.2,6.2,5.3,5.8,6.5,5.1,6.3,6.6,7.5,7.2,6.2,6.9,5,4.6,4.8,3.7,2.3,0.3,0.7,0.8,0.5,0.3,0.8,0.7,1.3,1.2,0.4,0.3,0.9,0.9,0.5,0.6,0.6,0.6,0.5,46466,698,49956,698,6.8,2.7,6.6
"Cumberland County, New Jersey",2007,103421,2466,31326,1169,1895,851,1873,226,96,168,13074,2566,3859,1153,1059,838,2800,997,155544,NA,7.4,6.4,6.2,6.9,6.3,8.2,7.7,7.5,7.4,7.2,6.2,5.3,4.8,3.9,2.8,2.7,1.7,1.5,0.2,0.7,0.7,0.4,0.4,0.4,0.1,0.9,0.9,0.2,0.2,0.6,0.6,0.5,0.5,0.5,0.4,0.4,81166,525,74378,525,10.7,2.5,6.5
"Essex County, New Jersey",2007,315177,5350,315740,2490,2887,1017,34374,697,0,277,94317,5660,13592,2345,6293,1585,7299,1699,776087,NA,7.4,6.6,7.2,7.1,6.7,6.5,6.6,7.3,7.9,7.7,6.8,5.7,4.8,3.4,2.7,2.2,1.8,1.5,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,372787,383,403300,383,7.9,0.7,5.3
"Gloucester County, New Jersey",2007,241504,1087,27779,1105,309,238,6986,284,0,277,3989,1015,5186,1274,947,495,4239,1251,285753,NA,5.9,6.5,6.6,7.5,7.5,6.5,5.8,7,8.4,8.7,7.2,6,4.8,3.2,2.8,2.2,2.1,1.2,0.1,0.6,0.6,0.3,0.2,0.3,0.3,0.8,0.7,0.2,0.2,0.5,0.5,0.3,0.3,0.3,0.3,0.2,139600,462,146153,462,7.2,1.2,4.3
"Hudson County, New Jersey",2007,348229,8142,83733,3616,2367,1050,66966,1480,460,616,85297,8292,11108,2352,5700,1873,5408,1427,598160,NA,6.7,5.2,6.3,6.1,6.8,7.5,9.4,10.1,8,7.4,6.3,5.2,4.3,3,2.8,2.2,1.4,1.5,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.2,0.2,297014,474,301146,474,6.9,0.8,5
"Hunterdon County, New Jersey",2007,117479,779,3572,531,87,133,4183,526,0,277,2476,706,1551,782,261,265,1290,718,129348,NA,5.1,7,6.3,6.6,5.5,4.3,5,6.5,9.8,10.1,9.4,8.2,5.1,3.7,2.7,1.9,1.6,1.3,0.1,0.7,0.7,0.2,0.3,0.4,0.5,0.8,1.1,0.5,0.4,0.6,0.6,0.7,0.7,0.3,0.3,0.3,63531,528,65817,528,3.1,0.9,2.8
