Geography,year,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Total:,Margin of Error; Total:,Total; Estimate; AGE - Under 5 years,Total; Estimate; AGE - 5 to 9 years,Total; Estimate; AGE - 10 to 14 years,Total; Estimate; AGE - 15 to 19 years,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over,Total; Margin of Error; AGE - Under 5 years,Total; Margin of Error; AGE - 5 to 9 years,Total; Margin of Error; AGE - 10 to 14 years,Total; Margin of Error; AGE - 15 to 19 years,Total; Margin of Error; AGE - 20 to 24 years,Total; Margin of Error; AGE - 25 to 29 years,Total; Margin of Error; AGE - 30 to 34 years,Total; Margin of Error; AGE - 35 to 39 years,Total; Margin of Error; AGE - 40 to 44 years,Total; Margin of Error; AGE - 45 to 49 years,Total; Margin of Error; AGE - 50 to 54 years,Total; Margin of Error; AGE - 55 to 59 years,Total; Margin of Error; AGE - 60 to 64 years,Total; Margin of Error; AGE - 65 to 69 years,Total; Margin of Error; AGE - 70 to 74 years,Total; Margin of Error; AGE - 75 to 79 years,Total; Margin of Error; AGE - 80 to 84 years,Total; Margin of Error; AGE - 85 years and over,Male; Estimate; Total population,Male; Margin of Error; Total population,Female; Estimate; Total population,Female; Margin of Error; Total population,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over,unemployment_rate_bls
"Mercer County, New Jersey",2007,239084,3562,73113,1476,714,294,28706,787,65,107,18019,3565,5748,1501,1129,688,4619,1373,365449,NA,6.2,6.2,6.4,7.6,7.7,6.4,6.7,6.8,8.2,8.1,6.9,6,4.8,3.1,3,2.6,1.6,1.6,0.1,0.5,0.5,0.3,0.2,0.1,0.1,0.5,0.5,0.1,0.1,0.4,0.4,0.3,0.3,0.3,0.3,0.3,179645,319,185804,319,6,1.1,3.8
"Middlesex County, New Jersey",2007,502255,7463,77836,2044,920,519,144547,2079,94,114,49689,7619,13288,2289,3061,936,10227,2044,788629,NA,6.4,6.3,6.3,7.1,6.7,6.1,7.5,8.3,8,8,7,5.8,4.5,3.3,2.7,2.2,2.1,1.7,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.3,0.3,0.3,0.2,0.2,0.2,0.2,390037,203,398592,203,5.2,0.6,3.9
"Monmouth County, New Jersey",2007,528649,3991,50409,1698,937,572,32346,917,58,94,20737,4102,8894,1881,2134,1178,6760,1818,642030,NA,5.9,6.4,7.2,7.3,6,4.8,5.2,6.7,8.1,9,8.1,6.9,5.3,3.8,3,2.3,1.9,1.9,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.2,0.2,314060,253,327970,253,5.5,0.6,3.7
"Morris County, New Jersey",2007,407498,4136,15664,995,1336,495,40560,1193,102,166,17078,4187,6237,1584,1379,765,4858,1469,488475,NA,6,6.8,6.8,6.8,5.4,4.5,5.5,7.6,8.5,9.1,7.8,7,5.7,3.7,3.4,2.2,1.6,1.6,0.1,0.4,0.4,0.2,0.2,0.1,0.1,0.5,0.5,0.2,0.1,0.4,0.4,0.3,0.3,0.2,0.2,0.2,241387,800,247088,800,3.8,0.6,3
"Ocean County, New Jersey",2007,514159,3197,19995,968,612,422,9574,982,0,277,14639,3069,6514,2119,1925,1105,4589,1821,565493,NA,6.8,6.1,6.4,6.1,5.1,6,5.9,6,7.4,7.1,6.3,5.2,4.8,4.2,4.2,4.9,3.8,3.6,0.1,0.4,0.4,0.1,0.1,0.1,0.2,0.4,0.4,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,271087,856,294406,856,5.9,0.8,4.6
"Passaic County, New Jersey",2007,282964,6137,60551,1561,795,554,22028,1419,385,409,115018,6589,10374,2539,4005,2104,6369,1935,492115,NA,7.1,6.2,8.1,7.5,6.5,6.3,6.5,7.7,7.6,7.5,6.7,5.3,4.9,3.2,3.1,2.2,1.9,1.8,0.2,0.6,0.6,0.2,0.2,0.1,0.1,0.5,0.5,0.1,0.1,0.4,0.4,0.3,0.3,0.3,0.3,0.3,240323,998,251792,998,5.8,0.9,5.3
"Salem County, New Jersey",2007,53048,741,10184,759,243,277,335,237,0,277,897,535,1309,428,356,175,953,392,66016,NA,6.2,3.8,8.4,7.1,6.3,6.2,5.5,6.9,8.6,7.6,7,6.8,5.7,4,2.9,2.7,2.5,1.9,0.6,0.9,1.1,0.7,0.6,0.6,0.5,1.3,1.1,0.6,0.5,0.9,0.9,0.7,0.8,0.7,0.6,0.6,32793,623,33223,623,6.1,1.7,5
"Somerset County, New Jersey",2007,241204,2997,28248,902,398,385,40052,1039,0,277,10199,2904,3451,1178,682,675,2769,1091,323552,NA,6.5,7.2,7.1,6.5,5.3,4.5,5.8,8.1,9,9.5,7.7,6,5.3,3.7,2.7,1.9,1.9,1.4,NA,0.5,0.5,0.2,0.3,0.2,0.1,0.6,0.6,0.2,0.2,0.4,0.5,0.4,0.4,0.3,0.3,0.2,160887,581,162665,581,3.1,0.6,3.1
"Sussex County, New Jersey",2007,141021,1314,2797,570,479,327,2482,539,0,277,3512,1484,1187,536,251,201,936,571,151478,NA,5.5,6.8,6.7,7.8,6,4.7,5.3,7.1,8.8,9.9,8.4,7.3,5.3,3.5,2.3,1.7,1.6,1.2,0.2,0.7,0.7,0.4,0.3,0.1,0.3,0.8,0.8,0.3,0.3,0.8,0.8,0.4,0.4,0.4,0.3,0.3,75602,526,75876,526,5.5,1,3.9
"Union County, New Jersey",2007,303621,5194,113592,1912,740,635,23526,637,369,589,76620,5220,6190,1581,1636,782,4554,1217,524658,NA,7,6.7,6.9,7,6.4,5.3,6,7.7,8,8.3,7.2,5.9,5,3.8,2.5,2.5,2.1,1.8,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.6,0.6,0.1,0.1,0.4,0.4,0.3,0.3,0.3,0.3,0.3,255314,317,269344,317,6.5,0.9,4.5
"Warren County, New Jersey",2007,101531,702,3534,451,93,137,2643,462,0,277,1023,760,913,667,21,37,892,671,109737,NA,6.4,6.9,6.3,8.1,4.9,5.1,5.7,7.6,8.5,8.7,7.7,5.2,6.2,3.6,2.5,2.9,2.2,1.6,0.5,0.8,0.8,0.7,0.8,0.5,0.6,1.1,1,0.5,0.5,0.7,0.8,0.7,0.7,0.5,0.5,0.3,52883,613,56854,613,6.2,1.7,3.8
"Atlantic County, New Jersey",2008,177019,2939,45917,2191,411,402,17016,725,0,277,22445,3189,7873,2434,706,513,7167,2405,270681,NA,6.5,6.1,6.8,7.1,6.3,5.8,6.3,6.9,8,8.2,7.3,5.5,4.8,4.2,3,3.3,1.9,2,0.1,0.5,0.5,0.4,0.4,0.3,0.3,0.7,0.7,0.1,0.1,0.5,0.4,0.4,0.4,0.4,0.3,0.5,131997,604,138684,604,5.7,0.9,6.8
"Bergen County, New Jersey",2008,675769,5693,50372,2858,949,405,128502,1847,0,277,21288,4921,17960,3504,4059,1544,13901,2847,894840,NA,5.5,6.3,6.1,6.4,5.7,5.1,5.7,7.1,8.1,8.7,8,6.3,6.2,4.2,3.4,2.8,2.1,2.4,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.2,0.3,435382,489,459458,489,4.3,0.5,4.4
"Burlington County, New Jersey",2008,336421,2287,70757,1971,981,585,18511,738,52,85,7987,2221,10766,1928,1502,568,9264,1804,445475,NA,5.9,6.1,6.6,6.7,6.3,6.2,6.3,6.9,8.6,8.5,7.5,5.7,5.5,4.5,2.6,2.3,2.1,2,0.1,0.4,0.4,0.2,0.2,0.2,0.1,0.5,0.5,0.1,0.1,0.4,0.4,0.3,0.3,0.3,0.3,0.3,220534,749,224941,749,6.6,0.8,4.9
"Camden County, New Jersey",2008,345676,3783,99636,2145,3272,1669,22822,1150,0,277,34234,3966,11594,2456,2955,1388,8639,2160,517234,NA,6.7,6.5,6.9,7.3,6.5,6.7,6,7.1,7.4,8,7.4,6.3,4.8,3.6,2.7,2.1,1.9,2,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.3,0.3,0.3,0.2,0.3,250928,461,266306,461,7.5,0.9,5.9
"Cape May County, New Jersey",2008,87337,1328,3696,829,617,656,462,408,0,277,1551,1433,2175,972,89,178,2086,957,95838,NA,5,4.6,5.9,6.3,5.2,5.4,5.4,7.2,7.3,7.2,7.4,6.7,5.9,6.1,3.6,5,3.2,2.6,0.5,0.8,0.8,1,0.7,0.2,0.6,1.5,1.6,0.3,0.3,0.8,0.7,0.8,0.7,0.8,0.7,0.7,46318,674,49520,674,5.9,2.1,7.9
"Cumberland County, New Jersey",2008,106983,2809,30097,1075,1228,286,1837,176,0,277,12377,2899,4308,1185,939,497,3369,1134,156830,NA,7.6,5.9,6.7,6.6,6.6,7.7,7.9,6.6,8.7,6.7,6.2,4.9,4.9,3.7,2.9,2.3,2.2,1.9,0.1,0.8,0.7,0.3,0.6,0.5,0.1,0.8,0.7,0.5,0.3,0.6,0.7,0.6,0.7,0.6,0.5,0.5,80539,415,76291,415,7.7,1.6,7.9
"Essex County, New Jersey",2008,341957,5431,317799,4066,1877,794,34878,1376,537,636,59069,5872,14558,2755,2084,861,12474,2670,770675,NA,7.3,6.8,7,7.2,6.7,6.4,6.5,7.5,7.3,7.8,7,5.9,4.8,3.9,2.4,2.2,1.7,1.6,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,371220,611,399455,611,7.4,0.7,6.4
"Gloucester County, New Jersey",2008,242260,1422,28248,1082,333,326,6910,435,52,91,4994,1546,5063,1398,41,68,5022,1391,287860,NA,6,6.5,6.3,7.3,7.1,6.9,6,7.3,7.8,8.4,7.7,5.9,5.1,3.4,2.9,2.2,1.8,1.5,0.1,0.5,0.5,0.3,0.2,0.2,0.2,0.7,0.6,0.1,0.2,0.5,0.5,0.3,0.3,0.3,0.3,0.3,140893,740,146967,740,7.2,0.9,5.3
"Hudson County, New Jersey",2008,362096,6459,79861,2893,1688,1056,68241,1587,0,277,70524,6624,13009,2409,4544,1342,8465,1934,595419,NA,6.8,5.5,6,6.1,6.7,7.1,9.1,9.9,8.4,7.6,6.4,5,4.6,3.2,2.6,2,1.7,1.4,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.6,0.6,0.1,0.1,0.3,0.3,0.3,0.3,0.2,0.2,0.2,295762,561,299657,561,6.5,0.7,6.2
"Hunterdon County, New Jersey",2008,116962,1272,4013,359,90,129,4498,442,0,277,2231,1244,1237,662,383,384,854,579,129031,NA,4.8,5.9,7.1,6.7,5.8,5,5.1,6,9.3,9.5,9.1,8.2,5.9,3.8,2.9,2.1,1.3,1.5,0.3,0.8,0.8,0.3,0.5,0.7,0.6,0.9,1,0.3,0.2,0.7,0.7,0.5,0.6,0.6,0.4,0.4,63324,812,65707,812,6.1,2.2,3.7
"Mercer County, New Jersey",2008,244302,3082,72347,2333,1677,1517,29849,654,0,277,9386,2945,7322,2215,1358,822,5964,2044,364883,NA,6.3,6.3,6.2,7.7,7.3,6.4,6.6,7.9,6.8,7.9,7.2,5.7,5.3,3.5,2.9,2.4,1.9,1.5,NA,0.5,0.5,0.2,0.2,NA,NA,0.6,0.6,NA,NA,0.4,0.4,0.4,0.4,0.3,0.3,0.2,180011,414,184872,414,6.4,1,4.7
"Middlesex County, New Jersey",2008,503400,6086,77495,2712,987,402,151179,1636,54,93,41821,6219,14166,2879,4252,1722,9914,2396,789102,NA,6.6,6.5,6.1,7,6.7,6.1,7.2,7.9,8.1,8,7.1,6,4.5,3.5,2.8,2.3,1.9,1.7,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.5,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,390457,1422,398645,1422,5,0.6,4.9
"Monmouth County, New Jersey",2008,539433,3649,49019,2768,1944,1034,32455,965,0,277,8283,2646,11314,2665,1053,722,10261,2638,642448,NA,5.8,7,6.4,7.2,6.1,5.3,5.2,6.6,7.5,9,8.3,6.8,5.8,3.7,3.3,2.3,1.9,1.9,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.3,0.2,0.2,0.2,0.2,314670,435,327778,435,5.4,0.6,4.8
"Morris County, New Jersey",2008,405756,3026,14810,1126,1406,763,41562,915,42,70,15534,3176,8438,2619,3333,1648,5105,1576,487548,NA,5.9,7.1,6.5,6.6,5.6,4.6,5.3,6.8,8.8,9,8.1,6.9,6,4.2,2.9,2.5,1.8,1.5,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.4,0.4,0.3,0.3,0.2,0.2,0.2,240258,389,247290,389,3.9,0.6,3.9
"Ocean County, New Jersey",2008,517529,4141,18969,1195,457,366,9789,971,117,197,14381,4032,7869,2396,2455,2108,5414,1458,569111,NA,6.9,6.1,6.4,5.8,5.2,6.3,5.9,6.1,6.9,7.3,6.3,5,5.1,4.5,3.7,5.2,3.8,3.5,0.1,0.4,0.4,0.1,0.1,0.2,0.1,0.4,0.5,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.3,0.4,273270,750,295841,750,6.3,0.8,5.8
"Passaic County, New Jersey",2008,288342,6678,62600,2728,1341,998,23624,1119,174,271,106488,7126,8379,2639,1293,744,7086,2503,490948,NA,7.6,6.8,7.3,7.3,6.7,6.2,6.2,6.7,8,7.8,6.9,5.8,4.8,3.6,2.7,2.2,1.6,1.9,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.4,0.4,0.3,0.3,0.3,0.3,0.3,239726,627,251222,627,5.6,0.9,6.6
"Salem County, New Jersey",2008,53522,718,10988,508,35,58,275,254,0,277,902,582,419,325,105,187,314,269,66141,NA,5.8,6,5.9,7.2,6.5,7.9,5.9,6,7.5,7.7,7.4,6.8,5.4,4.1,2.8,2.4,3.1,1.5,0.8,0.9,0.7,0.7,0.8,0.8,0.7,1.2,1.2,0.6,0.6,0.9,0.9,0.7,0.6,0.6,0.7,0.6,32458,430,33683,430,8.8,3.2,6.1
"Somerset County, New Jersey",2008,239766,3456,26342,1910,0,277,41431,874,0,277,11178,3417,5846,1526,948,838,4898,1492,324563,NA,6.4,7.2,7.1,6.1,4.9,5.3,5.6,7.8,8.6,9.1,8.3,5.9,5.4,4,2.9,2.3,1.4,1.6,0.1,0.6,0.6,0.2,0.3,0.3,0.4,0.8,0.8,0.2,0.1,0.5,0.5,0.4,0.4,0.4,0.2,0.3,159879,475,164684,475,5,1,4
"Sussex County, New Jersey",2008,140288,1413,2776,595,165,182,3265,394,0,277,2762,1265,1653,861,584,716,1069,603,150909,NA,5.5,6.6,6.5,7.5,5.8,5.1,4.9,6.3,8.9,10.4,8.6,7.8,5.6,4.2,2.2,1.8,1.3,1,0.2,0.6,0.6,0.4,0.2,0.2,0.4,0.7,0.9,0.5,0.2,0.8,0.7,0.5,0.4,0.3,0.3,0.3,75614,722,75295,722,6.9,1.4,4.9
"Union County, New Jersey",2008,318893,5849,113213,2388,1254,948,23279,873,311,518,58616,5977,7683,2371,3326,1790,4357,1328,523249,NA,7,6.8,6.8,6.9,6.3,5.6,5.8,7.1,8.1,8.3,7.5,6.5,4.9,3.4,2.7,2.1,2.1,2,NA,0.4,0.4,0.1,0.1,0.1,NA,0.5,0.5,NA,NA,0.4,0.4,0.3,0.3,0.3,0.3,0.3,255061,492,268188,492,6.4,0.7,5.6
"Warren County, New Jersey",2008,100410,765,4043,235,0,277,2871,410,0,277,1216,663,1336,601,345,262,991,499,109876,NA,5.8,7.5,6.4,7.1,4.9,4.7,5.5,7.2,8.5,9.2,8.8,6.7,4.6,3.8,2.8,2.5,2.3,1.7,0.3,0.9,0.8,0.5,0.3,0.2,0.6,1,0.9,0.4,0.8,0.6,0.6,0.4,0.5,0.6,0.5,0.5,53662,942,56214,942,5.7,1.3,4.9
"Atlantic County, New Jersey",2009,184963,2826,44395,2259,683,218,17714,834,0,279,15731,2743,8226,2265,1565,884,6661,2139,271712,NA,6.6,6.4,6.2,7,5.8,6.4,5.5,6.4,7.4,8.3,7.7,6.5,6,4.3,3.3,2.5,2,1.8,0.1,0.5,0.5,0.3,0.4,0.3,0.3,0.6,0.7,0.2,0.1,0.5,0.5,0.4,0.4,0.4,0.3,0.3,132164,296,139548,296,11.9,1.5,11.9
"Bergen County, New Jersey",2009,665215,6048,52056,2401,2142,1007,132898,1546,63,105,29332,5729,13544,2954,3654,1423,9890,2607,895250,NA,5.4,6,6.7,6.4,5.6,5.4,5.8,7,7.8,8.5,8,6.8,5.5,4.1,3.4,2.8,2.2,2.5,0.1,0.3,0.3,0.1,0.2,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,437059,477,458191,477,6.8,0.6,7.8
"Burlington County, New Jersey",2009,336957,3341,72494,1835,471,270,19029,799,0,279,7108,2759,10049,2613,709,539,9340,2444,446108,NA,5.8,5.9,7,6.5,6.5,6.1,5.8,7.2,7.3,8.6,7.8,6.7,5.1,3.9,3.3,2.2,2.2,2.1,0.1,0.4,0.4,0.2,0.2,0.2,0.1,0.5,0.5,0.1,0.2,0.4,0.4,0.2,0.3,0.2,0.3,0.2,222083,905,224025,905,8.5,0.8,8.4
"Camden County, New Jersey",2009,342838,3844,98246,2752,2348,1077,24635,846,0,279,35110,4288,14702,3051,2519,880,12183,2871,517879,NA,6.7,6.3,6.9,7,6.4,7.1,6.3,6.7,7.2,7.8,7.5,6.2,5.2,3.9,2.8,2,2.3,1.8,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.2,250871,389,267008,389,11.6,0.9,9.9
"Cape May County, New Jersey",2009,87071,891,5699,674,396,405,186,190,0,279,1803,882,937,587,324,314,613,476,96092,NA,4.1,5,6.3,5.8,5.7,5.7,3.8,5.1,5.3,8,8.4,7.4,8.2,6.2,5.5,4.6,3,1.9,0.4,0.8,0.8,0.4,0.4,0.6,0.5,1.1,0.9,0.6,0.6,0.9,0.9,0.8,0.9,0.7,0.6,0.6,45771,614,50321,614,9.5,1.9,11.2
"Cumberland County, New Jersey",2009,101192,3115,32791,1965,1822,650,1651,398,42,68,13418,3228,6829,1928,2590,1323,4239,1299,157745,NA,7.7,6.4,6.4,7.5,6.5,7.1,7.3,7.3,6.9,7.3,6.4,5.8,4.9,3.6,3.1,2.2,1.5,2.2,0.1,0.8,0.8,0.5,0.5,0.5,0.1,0.9,0.9,0.3,0.2,0.7,0.6,0.5,0.6,0.5,0.3,0.5,81321,468,76424,468,15.3,2.2,12.5
"Essex County, New Jersey",2009,341671,6275,311751,4273,2107,1013,33320,1233,442,414,48112,5138,32241,5730,6711,2676,25530,5434,769644,NA,7.3,6.7,7,6.7,6.5,7,7.2,7.3,7.4,7.7,6.9,6,4.7,3.7,2.5,2,2,1.6,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,371599,603,398045,603,12.5,0.9,10.3
"Gloucester County, New Jersey",2009,243885,1648,29218,1508,52,104,6262,1142,0,279,3280,1468,7223,1815,580,409,6643,1813,289920,NA,5.9,6.8,6.7,7,6.5,6.4,6.4,7.4,7.1,8.4,7.8,6.3,5.2,4.1,2.5,2.1,1.6,1.7,0.2,0.5,0.5,0.3,0.3,0.4,0.3,0.7,0.7,0.1,0.2,0.4,0.4,0.4,0.4,0.3,0.3,0.3,141192,939,148728,939,11,1.5,9.2
"Hudson County, New Jersey",2009,358677,6593,81792,3463,3310,1539,68327,1399,32,54,70349,6964,15437,3270,4815,1462,10622,2750,597924,NA,6.6,5.7,5,5.5,6.6,10.7,10.7,8.7,6.8,7,6.3,5.4,4.2,3.3,2.6,1.8,1.8,1.3,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.5,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,296442,294,301482,294,10.7,1,10.5
"Hunterdon County, New Jersey",2009,118322,1349,3840,366,47,87,4223,498,73,103,1811,1483,1718,742,48,79,1670,734,130034,NA,5.1,7.3,6.7,6.9,5.6,3.4,3.6,5.8,10,10.2,9.7,7.3,6.1,4,2.8,2.5,1.6,1.4,0.4,0.7,0.7,0.3,0.5,0.5,0.3,1,0.9,0.4,0.3,0.7,0.7,0.7,0.6,0.6,0.4,0.4,65121,719,64913,719,9,1.9,6.7
"Mercer County, New Jersey",2009,241209,3769,71339,2892,473,402,29699,1082,269,366,15316,3840,7917,2718,583,435,7334,2700,366222,NA,6.3,5.9,6.7,7.4,7.6,6.5,6.5,6.8,7.6,7.8,7.3,6,5.2,3.8,2.6,2.3,1.9,1.8,NA,0.5,0.5,0.4,0.4,0.1,NA,0.5,0.5,NA,NA,0.5,0.5,0.3,0.3,0.3,0.3,0.3,180573,NA,185649,NA,11,1.5,7.6
"Middlesex County, New Jersey",2009,510205,4790,80045,2653,1723,1085,153425,1584,0,279,31640,4548,13700,2677,3178,1155,10522,2246,790738,NA,6.6,6.7,6,6.8,6.3,7.3,7.4,7.4,7.2,7.8,7.2,6,4.8,3.1,3.2,2.4,2,1.7,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.3,0.3,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,390789,257,399949,257,9.3,0.7,8.5
"Monmouth County, New Jersey",2009,532605,3939,48692,1852,1809,1372,34245,1247,77,131,13337,3588,13340,2781,1177,577,12163,2822,644105,NA,5.7,6.6,7,7.1,6,5,4.8,6.3,7.9,9.1,8.5,6.8,5.7,4.1,2.9,2.5,2,2,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.1,0.1,0.4,0.4,0.2,0.2,0.2,0.2,0.2,315844,288,328261,288,8.5,0.8,8.3
"Morris County, New Jersey",2009,407476,3153,15456,1659,1760,1006,42868,1167,437,670,11010,2841,9511,2435,4434,1807,5077,1314,488518,NA,5.8,7,6.8,6.9,5.4,4.6,5.1,7,8.3,9.1,8.2,6.4,5.8,4.3,2.9,2.4,1.9,2,NA,0.4,0.4,0.2,0.2,0.1,0.1,0.5,0.5,0.1,0.2,0.4,0.4,0.3,0.3,0.3,0.2,0.2,242022,562,246496,562,6.9,0.9,7.1
"Ocean County, New Jersey",2009,523902,3470,19261,1423,554,364,10690,603,62,108,9681,2860,9528,2568,2600,1485,6928,2030,573678,NA,6.8,6,6.5,5.9,5.3,5.6,5,5.5,6.3,7.1,6.7,6,6.3,5.6,4.8,4.1,3.5,2.9,0.1,0.4,0.4,0.1,0.2,0.1,0.1,0.3,0.3,0.2,0.2,0.5,0.5,0.3,0.3,0.3,0.3,0.3,274963,628,298715,628,11.3,1.1,9.5
"Passaic County, New Jersey",2009,312332,6765,61179,2938,1410,891,23547,1165,88,150,87657,6572,5565,1631,2027,788,3538,1499,491778,NA,7.7,6.8,6.9,6.8,6.5,6.9,6.8,7.1,6.9,7.5,7,5.6,5.2,3.6,2.8,2.3,2,1.6,0.1,0.5,0.5,0.2,0.2,0.1,0.1,0.5,0.5,0.1,0.1,0.5,0.5,0.3,0.3,0.2,0.2,0.2,240759,453,251019,453,9.9,1.2,11
"Salem County, New Jersey",2009,52967,1313,10016,623,60,62,199,193,0,279,1642,1283,1458,828,56,132,1402,827,66342,NA,5.8,6.3,6.7,7.6,5.6,6,6.9,7.4,5.4,7.5,8,6.3,5.9,3.4,3.9,3.4,1.9,2.1,1.1,1.6,1.4,1,0.6,0.7,1.2,1.4,1.2,0.6,0.4,0.9,1,0.8,1,1,0.7,0.7,31214,850,35128,850,13.3,3.1,10.6
"Somerset County, New Jersey",2009,237329,3108,29504,1427,967,765,42917,1015,0,279,11698,3391,4454,1536,864,715,3590,1217,326869,NA,6.2,7.2,7,6.7,5,5.2,5.8,7.4,8.5,9.1,8.1,6.6,4.9,3.4,3.1,2,1.6,2.1,NA,0.6,0.6,0.3,0.3,0.2,0.1,0.6,0.7,0.2,0.4,0.5,0.5,0.4,0.4,0.3,0.2,0.3,161453,591,165416,591,8.1,1.1,7.3
"Sussex County, New Jersey",2009,141658,965,3179,287,150,157,3657,452,0,279,1151,818,1323,741,510,436,813,652,151118,NA,5.1,7.3,6.6,7.3,5.9,4.3,4.7,6.4,8.8,9.7,9.1,7.3,6.1,3.9,2.7,2,1.4,1.3,0.3,0.7,0.6,0.4,0.4,0.2,0.3,0.8,0.8,0.5,0.4,0.8,0.8,0.5,0.5,0.4,0.3,0.4,75477,1002,75641,1002,8,1.1,8.6
"Union County, New Jersey",2009,315103,4936,113820,2159,581,352,24469,832,82,140,64771,5596,7600,1753,2699,1114,4901,1279,526426,NA,7.1,6.9,6.7,6.6,5.9,6.3,6.6,7.7,7.2,8.1,7.4,6.1,4.9,3.6,2.5,2.3,2,2,0.1,0.5,0.5,0.1,0.1,0.1,0.1,0.5,0.5,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.2,0.3,257599,509,268827,509,10.1,1.2,9.3
"Warren County, New Jersey",2009,99301,1164,4068,656,62,98,3061,393,0,279,1391,906,1755,1031,518,501,1237,779,109638,NA,5.7,5.5,7.8,7.1,5.5,5,5,6.1,8.9,9.7,8.2,6,6.2,4,2.8,2.5,1.9,1.9,0.4,0.8,0.9,0.7,0.6,0.4,0.5,0.9,1,0.9,0.4,0.7,0.8,0.6,0.5,0.5,0.5,0.5,53118,845,56520,845,7.6,1.8,8.7
