Geography,year,unemployment_rate_bls
"Atlantic County, New Jersey",2006,5.8
"Bergen County, New Jersey",2006,3.9
"Burlington County, New Jersey",2006,4.2
"Camden County, New Jersey",2006,5.3
"Cape May County, New Jersey",2006,7
"Cumberland County, New Jersey",2006,7
"Essex County, New Jersey",2006,5.9
"Gloucester County, New Jersey",2006,4.8
"Hudson County, New Jersey",2006,5.6
"Hunterdon County, New Jersey",2006,3.4
"Mercer County, New Jersey",2006,4.3
"Middlesex County, New Jersey",2006,4.4
"Monmouth County, New Jersey",2006,4.2
"Morris County, New Jersey",2006,3.4
"Ocean County, New Jersey",2006,5
"Passaic County, New Jersey",2006,5.7
"Salem County, New Jersey",2006,5.1
"Somerset County, New Jersey",2006,3.5
"Sussex County, New Jersey",2006,4.2
"Union County, New Jersey",2006,4.9
"Warren County, New Jersey",2006,4.2
"Atlantic County, New Jersey",2007,5.9
"Bergen County, New Jersey",2007,3.4
"Burlington County, New Jersey",2007,3.8
"Camden County, New Jersey",2007,4.8
"Cape May County, New Jersey",2007,6.6
"Cumberland County, New Jersey",2007,6.5
"Essex County, New Jersey",2007,5.3
"Gloucester County, New Jersey",2007,4.3
"Hudson County, New Jersey",2007,5
"Hunterdon County, New Jersey",2007,2.8
"Mercer County, New Jersey",2007,3.8
"Middlesex County, New Jersey",2007,3.9
"Monmouth County, New Jersey",2007,3.7
"Morris County, New Jersey",2007,3
"Ocean County, New Jersey",2007,4.6
"Passaic County, New Jersey",2007,5.3
"Salem County, New Jersey",2007,5
"Somerset County, New Jersey",2007,3.1
"Sussex County, New Jersey",2007,3.9
"Union County, New Jersey",2007,4.5
"Warren County, New Jersey",2007,3.8
"Atlantic County, New Jersey",2008,6.8
"Bergen County, New Jersey",2008,4.4
"Burlington County, New Jersey",2008,4.9
"Camden County, New Jersey",2008,5.9
"Cape May County, New Jersey",2008,7.9
"Cumberland County, New Jersey",2008,7.9
"Essex County, New Jersey",2008,6.4
"Gloucester County, New Jersey",2008,5.3
"Hudson County, New Jersey",2008,6.2
"Hunterdon County, New Jersey",2008,3.7
"Mercer County, New Jersey",2008,4.7
"Middlesex County, New Jersey",2008,4.9
"Monmouth County, New Jersey",2008,4.8
"Morris County, New Jersey",2008,3.9
"Ocean County, New Jersey",2008,5.8
"Passaic County, New Jersey",2008,6.6
"Salem County, New Jersey",2008,6.1
"Somerset County, New Jersey",2008,4
"Sussex County, New Jersey",2008,4.9
"Union County, New Jersey",2008,5.6
"Warren County, New Jersey",2008,4.9
"Atlantic County, New Jersey",2009,11.9
"Bergen County, New Jersey",2009,7.8
"Burlington County, New Jersey",2009,8.4
"Camden County, New Jersey",2009,9.9
"Cape May County, New Jersey",2009,11.2
"Cumberland County, New Jersey",2009,12.5
"Essex County, New Jersey",2009,10.3
"Gloucester County, New Jersey",2009,9.2
"Hudson County, New Jersey",2009,10.5
"Hunterdon County, New Jersey",2009,6.7
"Mercer County, New Jersey",2009,7.6
"Middlesex County, New Jersey",2009,8.5
"Monmouth County, New Jersey",2009,8.3
"Morris County, New Jersey",2009,7.1
"Ocean County, New Jersey",2009,9.5
"Passaic County, New Jersey",2009,11
"Salem County, New Jersey",2009,10.6
"Somerset County, New Jersey",2009,7.3
"Sussex County, New Jersey",2009,8.6
"Union County, New Jersey",2009,9.3
"Warren County, New Jersey",2009,8.7
"Atlantic County, New Jersey",2010,12.3
"Bergen County, New Jersey",2010,8
"Burlington County, New Jersey",2010,9
"Camden County, New Jersey",2010,10.9
"Cape May County, New Jersey",2010,14
"Cumberland County, New Jersey",2010,13
"Essex County, New Jersey",2010,10.8
"Gloucester County, New Jersey",2010,10.3
"Hudson County, New Jersey",2010,9.6
"Hunterdon County, New Jersey",2010,7.4
"Mercer County, New Jersey",2010,8.4
"Middlesex County, New Jersey",2010,9
"Monmouth County, New Jersey",2010,8.7
"Morris County, New Jersey",2010,7.4
"Ocean County, New Jersey",2010,10.3
"Passaic County, New Jersey",2010,11.4
"Salem County, New Jersey",2010,11.6
"Somerset County, New Jersey",2010,7.6
"Sussex County, New Jersey",2010,9.4
"Union County, New Jersey",2010,9.5
"Warren County, New Jersey",2010,9.8
"Atlantic County, New Jersey",2011,12.5
"Bergen County, New Jersey",2011,7.7
"Burlington County, New Jersey",2011,8.7
"Camden County, New Jersey",2011,10.8
"Cape May County, New Jersey",2011,14.8
"Cumberland County, New Jersey",2011,12.9
"Essex County, New Jersey",2011,10.8
"Gloucester County, New Jersey",2011,10.2
"Hudson County, New Jersey",2011,9.2
"Hunterdon County, New Jersey",2011,6.9
"Mercer County, New Jersey",2011,8.3
"Middlesex County, New Jersey",2011,8.7
"Monmouth County, New Jersey",2011,8.6
"Morris County, New Jersey",2011,7.1
"Ocean County, New Jersey",2011,10.4
"Passaic County, New Jersey",2011,11
"Salem County, New Jersey",2011,11.6
"Somerset County, New Jersey",2011,7.4
"Sussex County, New Jersey",2011,9.2
"Union County, New Jersey",2011,9.5
"Warren County, New Jersey",2011,9.1
"Atlantic County, New Jersey",2012,12.7
"Bergen County, New Jersey",2012,7.7
"Burlington County, New Jersey",2012,8.7
"Camden County, New Jersey",2012,10.7
"Cape May County, New Jersey",2012,15.4
"Cumberland County, New Jersey",2012,13.1
"Essex County, New Jersey",2012,10.7
"Gloucester County, New Jersey",2012,10.1
"Hudson County, New Jersey",2012,8.9
"Hunterdon County, New Jersey",2012,6.8
"Mercer County, New Jersey",2012,8.3
"Middlesex County, New Jersey",2012,8.6
"Monmouth County, New Jersey",2012,8.7
"Morris County, New Jersey",2012,7.1
"Ocean County, New Jersey",2012,10.6
"Passaic County, New Jersey",2012,11.1
"Salem County, New Jersey",2012,11.8
"Somerset County, New Jersey",2012,7.4
"Sussex County, New Jersey",2012,9
"Union County, New Jersey",2012,9.5
"Warren County, New Jersey",2012,8.7
"Atlantic County, New Jersey",2013,11.7
"Bergen County, New Jersey",2013,6.7
"Burlington County, New Jersey",2013,7.7
"Camden County, New Jersey",2013,9.4
"Cape May County, New Jersey",2013,14.3
"Cumberland County, New Jersey",2013,11.7
"Essex County, New Jersey",2013,9.7
"Gloucester County, New Jersey",2013,9
"Hudson County, New Jersey",2013,7.9
"Hunterdon County, New Jersey",2013,5.9
"Mercer County, New Jersey",2013,7.3
"Middlesex County, New Jersey",2013,7.5
"Monmouth County, New Jersey",2013,7.5
"Morris County, New Jersey",2013,6.2
"Ocean County, New Jersey",2013,9.3
"Passaic County, New Jersey",2013,10
"Salem County, New Jersey",2013,10.4
"Somerset County, New Jersey",2013,6.3
"Sussex County, New Jersey",2013,7.9
"Union County, New Jersey",2013,8.4
"Warren County, New Jersey",2013,7.6
"Atlantic County, New Jersey",2014,10.6
"Bergen County, New Jersey",2014,5.4
"Burlington County, New Jersey",2014,6.4
"Camden County, New Jersey",2014,7.7
"Cape May County, New Jersey",2014,12.2
"Cumberland County, New Jersey",2014,9.9
"Essex County, New Jersey",2014,8
"Gloucester County, New Jersey",2014,7.3
"Hudson County, New Jersey",2014,6.4
"Hunterdon County, New Jersey",2014,4.9
"Mercer County, New Jersey",2014,5.9
"Middlesex County, New Jersey",2014,6.1
"Monmouth County, New Jersey",2014,6.1
"Morris County, New Jersey",2014,5
"Ocean County, New Jersey",2014,7.4
"Passaic County, New Jersey",2014,8.3
"Salem County, New Jersey",2014,8.5
"Somerset County, New Jersey",2014,5.2
"Sussex County, New Jersey",2014,6.4
"Union County, New Jersey",2014,7
"Warren County, New Jersey",2014,6.3
"Atlantic County, New Jersey",2015,9.6
"Bergen County, New Jersey",2015,4.7
"Burlington County, New Jersey",2015,5.4
"Camden County, New Jersey",2015,6.5
"Cape May County, New Jersey",2015,11.1
"Cumberland County, New Jersey",2015,8.8
"Essex County, New Jersey",2015,6.9
"Gloucester County, New Jersey",2015,6.1
"Hudson County, New Jersey",2015,5.4
"Hunterdon County, New Jersey",2015,4.2
"Mercer County, New Jersey",2015,5
"Middlesex County, New Jersey",2015,5.2
"Monmouth County, New Jersey",2015,5.2
"Morris County, New Jersey",2015,4.4
"Ocean County, New Jersey",2015,6.2
"Passaic County, New Jersey",2015,7.1
"Salem County, New Jersey",2015,7.4
"Somerset County, New Jersey",2015,4.6
"Sussex County, New Jersey",2015,5.5
"Union County, New Jersey",2015,6
"Warren County, New Jersey",2015,5.4
"Atlantic County, New Jersey",2016,7.4
"Bergen County, New Jersey",2016,4.2
"Burlington County, New Jersey",2016,4.5
"Camden County, New Jersey",2016,5.5
"Cape May County, New Jersey",2016,9.8
"Cumberland County, New Jersey",2016,7.5
"Essex County, New Jersey",2016,6
"Gloucester County, New Jersey",2016,5.1
"Hudson County, New Jersey",2016,4.7
"Hunterdon County, New Jersey",2016,3.8
"Mercer County, New Jersey",2016,4.3
"Middlesex County, New Jersey",2016,4.4
"Monmouth County, New Jersey",2016,4.5
"Morris County, New Jersey",2016,3.9
"Ocean County, New Jersey",2016,5.2
"Passaic County, New Jersey",2016,6.2
"Salem County, New Jersey",2016,6.4
"Somerset County, New Jersey",2016,4.1
"Sussex County, New Jersey",2016,4.7
"Union County, New Jersey",2016,5.2
"Warren County, New Jersey",2016,4.6
